"","fichier","corpus","loc","utt","token","age","annee","fichier","corpus","loc","utt","token","age","annee","nbx","sumx","nbsx","sumsx","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj","x","FUT","COND","SUBJ","IMPF","prorel","conj","comme","PPRE","prep.inf","n.conj.det","n.adj","n.prep.n","cest...que","ya...qu","v.inf","dit.qu","plus.qu","proobj"
"21","./ttg_perceo_clan/TV_GP6_ELODIE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1202,264,"5;08.11",5.66667,"./ttg_perceo_clan/TV_GP6_ELODIE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1202,264,"5;08.11",5.66667,0,0,0,0,0,8,0,2,7,53,3,0,5,0,1,11,5,0,22,1,0,58,"x",0,0.0303030303030303,0,0.00757575757575758,0.0265151515151515,0.200757575757576,0.0113636363636364,0,0.0189393939393939,0,0.00378787878787879,0.0416666666666667,0.0189393939393939,0,0.0833333333333333,0.00378787878787879,0,0.21969696969697
"22","./ttg_perceo_clan/TV_GP6_MATHILDE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1111,284,"6;",6,"./ttg_perceo_clan/TV_GP6_MATHILDE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1111,284,"6;",6,0,0,0,0,1,0,0,4,4,53,1,0,9,0,4,10,5,0,21,0,0,54,"x",0.00352112676056338,0,0,0.0140845070422535,0.0140845070422535,0.186619718309859,0.00352112676056338,0,0.0316901408450704,0,0.0140845070422535,0.0352112676056338,0.0176056338028169,0,0.073943661971831,0,0,0.190140845070423
"23","./ttg_perceo_clan/TV_GP6_PAUL1_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",918,194,"5;08.11",5.66667,"./ttg_perceo_clan/TV_GP6_PAUL1_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",918,194,"5;08.11",5.66667,0,0,0,0,3,4,1,0,9,38,3,0,1,0,1,3,2,0,13,0,0,29,"x",0.0154639175257732,0.0206185567010309,0.00515463917525773,0,0.0463917525773196,0.195876288659794,0.0154639175257732,0,0.00515463917525773,0,0.00515463917525773,0.0154639175257732,0.0103092783505155,0,0.0670103092783505,0,0,0.149484536082474
"24","./ttg_perceo_clan/TV_GP6_PAUL2_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1056,258,"6;01.05",6.08333,"./ttg_perceo_clan/TV_GP6_PAUL2_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1056,258,"6;01.05",6.08333,0,0,0,0,2,3,0,20,9,65,2,0,1,2,2,6,1,0,23,11,1,53,"x",0.00775193798449612,0.0116279069767442,0,0.0775193798449612,0.0348837209302326,0.251937984496124,0.00775193798449612,0,0.00387596899224806,0.00775193798449612,0.00775193798449612,0.0232558139534884,0.00387596899224806,0,0.0891472868217054,0.0426356589147287,0.00387596899224806,0.205426356589147
"25","./ttg_perceo_clan/TV_GP6_SARAH_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1484,299,"5;10.23",5.83333,"./ttg_perceo_clan/TV_GP6_SARAH_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP6 "," CHI ",1484,299,"5;10.23",5.83333,0,0,0,0,2,4,2,8,36,79,5,0,10,0,1,7,44,0,15,3,3,67,"x",0.00668896321070234,0.0133779264214047,0.00668896321070234,0.0267558528428094,0.120401337792642,0.264214046822742,0.0167224080267559,0,0.0334448160535117,0,0.00334448160535117,0.0234113712374582,0.147157190635452,0,0.0501672240802676,0.0100334448160535,0.0100334448160535,0.224080267558528
"26","./ttg_perceo_clan/TV_GP7_ARTHUR_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",495,207,"6;05.30",6.41667,"./ttg_perceo_clan/TV_GP7_ARTHUR_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",495,207,"6;05.30",6.41667,0,0,0,0,2,1,0,16,5,29,1,0,5,0,1,2,4,0,7,5,0,22,"x",0.00966183574879227,0.00483091787439614,0,0.0772946859903382,0.0241545893719807,0.140096618357488,0.00483091787439614,0,0.0241545893719807,0,0.00483091787439614,0.00966183574879227,0.0193236714975845,0,0.0338164251207729,0.0241545893719807,0,0.106280193236715
"27","./ttg_perceo_clan/TV_GP7_Alexandre_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1329,378,"7;",7,"./ttg_perceo_clan/TV_GP7_Alexandre_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1329,378,"7;",7,0,0,0,0,1,4,2,11,6,61,3,0,8,0,2,3,4,0,29,4,1,75,"x",0.00264550264550265,0.0105820105820106,0.00529100529100529,0.0291005291005291,0.0158730158730159,0.161375661375661,0.00793650793650794,0,0.0211640211640212,0,0.00529100529100529,0.00793650793650794,0.0105820105820106,0,0.0767195767195767,0.0105820105820106,0.00264550264550265,0.198412698412698
"28","./ttg_perceo_clan/TV_GP7_CLEMENCE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1118,354,"5;05.30",5.41667,"./ttg_perceo_clan/TV_GP7_CLEMENCE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1118,354,"5;05.30",5.41667,0,0,0,0,0,1,6,9,15,71,10,0,8,1,3,6,13,0,13,1,1,27,"x",0,0.00282485875706215,0.0169491525423729,0.0254237288135593,0.0423728813559322,0.200564971751412,0.0282485875706215,0,0.0225988700564972,0.00282485875706215,0.00847457627118644,0.0169491525423729,0.0367231638418079,0,0.0367231638418079,0.00282485875706215,0.00282485875706215,0.076271186440678
"29","./ttg_perceo_clan/TV_GP7_ESTELLE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1611,511,"6;05.30",6.41667,"./ttg_perceo_clan/TV_GP7_ESTELLE_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",1611,511,"6;05.30",6.41667,0,0,0,0,6,5,1,10,9,76,3,0,17,1,1,22,2,0,40,1,2,49,"x",0.0117416829745597,0.00978473581213307,0.00195694716242661,0.0195694716242661,0.0176125244618395,0.148727984344423,0.00587084148727984,0,0.0332681017612524,0.00195694716242661,0.00195694716242661,0.0430528375733855,0.00391389432485323,0,0.0782778864970646,0.00195694716242661,0.00391389432485323,0.0958904109589041
"30","./ttg_perceo_clan/TV_GP7_LOUNA_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",872,340,"7;",7,"./ttg_perceo_clan/TV_GP7_LOUNA_JS.tei_corpo_ttg.tei_corpo.cha "," TV_GP7 "," CHI ",872,340,"7;",7,0,0,0,0,2,0,1,6,2,60,3,0,6,0,3,9,3,0,10,1,1,32,"x",0.00588235294117647,0,0.00294117647058824,0.0176470588235294,0.00588235294117647,0.176470588235294,0.00882352941176471,0,0.0176470588235294,0,0.00882352941176471,0.0264705882352941,0.00882352941176471,0,0.0294117647058824,0.00294117647058824,0.00294117647058824,0.0941176470588235
