fichier	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo3_gre.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	302	13	3;10.26	3.83333	13	6.461538	5	9.400000	0	0	0	1	8	39	0	0	0	1	0	0	6	0	3	0	1	0	x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india1_bru.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	117	11	3;01.20	3.08333	11	4.363636	1	7.000000	0	0	0	0	2	7	0	0	0	1	1	0	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india2_bru.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	88	10	3;03.22	3.25	10	4.800000	1	7.000000	0	0	0	1	0	13	0	0	0	0	0	0	0	0	1	0	0	0	x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india3_bru.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	88	10	3;06.22	3.5	10	5.300000	3	7.666667	0	0	0	0	1	4	1	0	0	0	1	1	1	0	0	0	0	2	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel1_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	104	10	5;04.23	5.33333	10	4.700000	0	0	0	0	0	5	3	8	0	0	1	0	0	0	0	0	1	1	0	1	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel2_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	85	10	5;05.07	5.41667	10	3.800000	0	0	0	0	0	0	0	8	0	0	1	1	1	4	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel3_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	102	10	5;05.07	5.41667	10	4.700000	0	0	0	1	0	0	1	7	0	0	0	1	0	3	1	0	3	0	0	0	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel4_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	104	10	5;05.21	5.41667	10	4.900000	1	8.000000	0	1	0	4	0	10	0	0	0	1	1	0	0	0	1	0	0	3	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel5_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	89	10	5;06.05	5.5	10	4.700000	0	0	0	0	0	5	0	7	0	0	0	0	0	2	0	0	1	1	0	1	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel6_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	149	11	5;07.02	5.58333	11	5.272727	3	7.000000	0	0	0	0	0	10	2	0	1	0	0	1	0	0	0	0	0	9	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel7_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	115	10	5;07.29	5.58333	10	4.700000	0	0	0	0	1	0	6	6	0	0	0	4	0	1	0	0	2	0	0	0	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel8_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	153	11	5;08.29	5.66667	11	5.454545	3	7.000000	0	1	0	2	0	10	0	0	0	0	1	1	1	0	1	2	0	4	x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel9_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	156	12	5;09.13	5.75	12	4.250000	1	8.000000	0	0	0	0	1	5	0	0	0	0	0	2	0	0	2	0	0	8	x
