fichier-colaje-lg20	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./ttg_perceo_clan/ANTOINE-18-1_05_21.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	19	11	1;04.23	1.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-19-1_06_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	44	16	1;05.30	1.41667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANTOINE-20-1_07_15.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	58	17	1;07.05	1.58333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANTOINE-21-1_08_05.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	44	14	1;07.05	1.58333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-22-1_09_11.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	67	20	1;08.11	1.66667	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-23-1_09_27.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	61	20	1;09.17	1.75	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANTOINE-24-1_10_10.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	69	20	1;09.17	1.75	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	x
./ttg_perceo_clan/ANTOINE-25-1_11_04.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	57	20	1;10.23	1.83333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	x
./ttg_perceo_clan/ANTOINE-26-1_11_18.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	62	20	1;10.23	1.83333	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	x
./ttg_perceo_clan/ANTOINE-27-2_00_01.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	75	20	2;	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	x
./ttg_perceo_clan/ANTOINE-28-2_00_20.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	61	20	2;	2	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-28b-2_00_21.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	5	2	2;	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-29-2_01_13.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	81	20	2;01.06	2.08333	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	x
./ttg_perceo_clan/ANTOINE-30-2_01_28.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	108	20	2;01.06	2.08333	0	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	x
./ttg_perceo_clan/ANTOINE-31-2_02_12.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	90	20	2;02.12	2.16667	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	5	x
./ttg_perceo_clan/ANTOINE-32-2_02_27.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	110	20	2;02.12	2.16667	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	x
./ttg_perceo_clan/ANTOINE-33-2_02_28.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	103	20	2;02.12	2.16667	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	x
./ttg_perceo_clan/ANTOINE-34-2_03_05.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	112	20	2;02.12	2.16667	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	x
./ttg_perceo_clan/ANTOINE-35-2_03_15.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	145	20	2;02.12	2.16667	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	x
./ttg_perceo_clan/ANTOINE-36-2_04_03.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	105	20	2;03.17	2.25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	6	x
./ttg_perceo_clan/ANTOINE-37-2_04_25.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	120	20	2;04.23	2.33333	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	1	1	0	2	x
./ttg_perceo_clan/ANTOINE-38-2_05_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	133	20	2;04.23	2.33333	0	0	0	0	1	0	0	0	0	4	2	0	0	0	2	0	0	0	4	0	0	1	x
./ttg_perceo_clan/ANTOINE-39-2_06_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	164	20	2;05.30	2.41667	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	1	0	0	2	x
./ttg_perceo_clan/ANTOINE-40-2_07_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	175	20	2;07.05	2.58333	0	0	0	0	0	1	0	0	0	3	1	0	0	0	1	3	0	0	3	0	0	2	x
./ttg_perceo_clan/ANTOINE-41-2_08_20.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	133	20	2;08.11	2.66667	0	0	0	0	1	0	0	0	0	6	0	0	2	0	0	1	0	0	3	0	0	3	x
./ttg_perceo_clan/ANTOINE-42-2_09_16.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	201	20	2;08.11	2.66667	0	0	0	0	0	0	0	1	0	11	0	0	0	1	0	1	0	0	2	3	0	5	x
./ttg_perceo_clan/ANTOINE-44-2_11_16.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	211	20	2;10.23	2.83333	0	0	0	0	0	0	0	0	3	13	1	0	1	3	0	3	2	0	2	0	0	9	x
./ttg_perceo_clan/ANTOINE-45-3_00_21.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	182	20	3;	3	0	0	0	0	0	0	0	0	1	7	3	0	0	0	1	1	2	0	2	0	0	6	x
./ttg_perceo_clan/ANTOINE-47-3_02_24.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	187	20	3;02.12	3.16667	0	0	0	0	0	0	0	0	2	11	0	0	1	0	0	1	3	0	3	0	0	9	x
./ttg_perceo_clan/ANTOINE-48-3_05_00.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	206	20	3;04.23	3.33333	0	0	0	0	0	0	0	1	2	13	5	0	0	0	1	1	3	0	5	2	0	4	x
./ttg_perceo_clan/ANTOINE-49-3_07_01.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	216	20	3;05.30	3.41667	0	0	0	0	2	0	0	0	2	18	2	0	1	0	0	1	3	1	2	2	1	12	x
./ttg_perceo_clan/ANTOINE-50-3_09_22.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	295	20	3;09.17	3.75	0	0	0	0	6	0	1	0	0	49	2	0	1	1	2	0	0	0	7	0	0	5	x
./ttg_perceo_clan/ANTOINE-51-4_00_09.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	243	20	4;	4	0	0	0	0	0	0	0	1	3	14	0	0	2	0	0	1	2	1	3	1	2	4	x
./ttg_perceo_clan/ANTOINE-52-4_02_19.20pl-CHI.tei_corpo_ttg.tei_corpo.cha 	 LONG 	 CHI 	232	20	4;02.12	4.16667	0	0	0	0	4	0	3	0	1	12	2	0	0	0	0	1	0	0	10	0	0	10	x
