id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
110;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_4.89.txt;4.53;4.53;4.53
111;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_5.2.txt;4.41;4.41;4.41
112;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_5.41.txt;4.59;4.59;4.59
113;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_5.61.txt;4.46;4.46;4.46
114;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_5.96.txt;4.57;4.57;4.57
115;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_6.27.txt;4.52;4.52;4.52
116;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_0.96.txt;2.45;2.45;2.45
117;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.19.txt;2.79;2.79;2.79
118;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.29.txt;2.61;2.61;2.61
119;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.39.txt;2.62;2.62;2.62
120;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.51.txt;2.68;2.68;2.68
121;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.65.txt;2.61;2.61;2.61
122;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.79.txt;2.97;2.97;2.97
123;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.87.txt;3.24;3.24;3.24
124;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_1.94.txt;3.14;3.14;3.14
125;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.02.txt;3.28;3.28;3.28
126;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.14.txt;3.32;3.32;3.32
127;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.21.txt;3.43;3.43;3.43
128;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.27.txt;3.41;3.41;3.41
129;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.4.txt;3.62;3.62;3.62
130;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.47.txt;3.69;3.69;3.69
131;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.56.txt;3.65;3.65;3.65
132;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.66.txt;3.75;3.75;3.75
133;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.74.txt;3.82;3.82;3.82
134;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.81.txt;3.90;3.90;3.90
135;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_2.92.txt;3.91;3.91;3.91
136;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_3.08.txt;3.72;3.72;3.72
137;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_3.1.txt;3.90;3.90;3.90
138;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_3.17-(1).txt;4.00;4.00;4.00
139;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_3.17.txt;3.82;3.82;3.82
140;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_3.63.txt;4.12;4.12;4.12
142;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_4.74.txt;4.46;4.46;4.46
143;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_5.3.txt;4.50;4.50;4.50
144;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Julie_5.85.txt;4.45;4.45;4.45
145;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_1.69.txt;2.67;2.67;2.67
146;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_1.9.txt;3.07;3.07;3.07
147;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_1.96.txt;2.88;2.88;2.88
148;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.02.txt;2.93;2.93;2.93
149;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.07.txt;3.02;3.02;3.02
150;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.15.txt;3.34;3.34;3.34
151;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.25.txt;3.42;3.42;3.42
152;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.32.txt;3.37;3.37;3.37
153;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.4.txt;3.42;3.42;3.42
154;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.52.txt;3.71;3.71;3.71
155;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.65.txt;3.84;3.84;3.84
156;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_2.92.txt;3.98;3.98;3.98
157;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_3.0.txt;4.04;4.04;4.04
158;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Léonard_3.23.txt;4.19;4.19;4.19
159;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.01.txt;2.55;2.55;2.55
160;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.11.txt;2.61;2.61;2.61
161;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.2.txt;2.51;2.51;2.51
162;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.24.txt;2.58;2.58;2.58
163;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_1.3.txt;2.54;2.54;2.54
