"","note","sentence","pluriels_phrase_nombre_pluriels_sentence","parties_du_discours_phrase_proportion_SCONJ_sentence","connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence","connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence","parties_du_discours_phrase_proportion_INTJ_sentence","connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence","connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence","graphie_phrase_variance_longueur_mots_sentence","pronoms_phrase_nombre_pronoms_indefinis_sentence","dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence","adverbiaux_temporels_phrase_nombre_adverbiaux_temporels_sentence","adverbiaux_temporels_phrase_proportion_adverbiaux_temporels_sentence","dependances_syntaxiques_phrase_point_distance_moyenne_sentence","pluriels_phrase_proportion_pluriels_sentence","pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence","structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence","structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence","flexions_verbales_phrase_proportion_flexions_pluriel_sentence","pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence","parties_du_discours_phrase_proportion_ADV_sentence","parties_du_discours_phrase_proportion_CCONJ_sentence","flexions_verbales_phrase_diversite_systemes_temps_sentence","pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence","connecteurs_organisateurs_phrase_nombre_additifs_et_integration_lineaire_sentence","connecteurs_organisateurs_phrase_proportion_additifs_et_integration_lineaire_sentence","pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence","emotions_phrase_score_de_subjectitvite_sentence","emotions_phrase_score_de_polarite_sentence","connecteurs_organisateurs_phrase_nombre_argumentatifs_et_concessifs_sentence","connecteurs_organisateurs_phrase_proportion_argumentatifs_et_concessifs_sentence"
"201","4","on a tout ce qui faut.",NA,NA,NA,NA,NA,NA,NA,NA,"0.166666666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.22","0.22",NA,NA
"202","1","une brosse à dent.",NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","4","on y retourne.
et là t- ta mère.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.333333333333333",NA,"0.0526315789473684","0.0526315789473684",NA,NA,NA,NA,NA
"204","3","en fait c'é- en fait c'était la famille Père Noël.",NA,NA,NA,NA,NA,NA,NA,"0.176315759312713",NA,"0.870329670397036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"205","13","parce que y avait ils trouvaient plus la porte.","0.0540540540540541","0.1111111111","0.2","0.2",NA,NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,"0.2222222222","0.166666666641667",NA,NA,"0.5","1","0.2222222222",NA,"0.333333333333333",NA,NA,NA,NA,"0.15","0.15",NA,NA
"206","17","et ils savaient pas que c'était elle parce que en fait euh ils avaient une porte mais.","0.108108108108108","0.1111111111","0.2","0.2",NA,NA,NA,"0.27358918338092","0.111111111111111","0.920300751895321",NA,NA,NA,"0.2222222222","0.166666666641667",NA,NA,"0.666666666667","0.6666666667",NA,"0.1111111111","0.333333333333333",NA,"0.0526315789473684","0.0526315789473684",NA,NA,NA,"0.142857142857143","0.142857142857143"
"207","5","la maman elle rentrait pas trop dans la porte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2222222222",NA,"0.333333333333333",NA,NA,NA,NA,"0.125","0.125",NA,NA
"208","2","c'est l- l'enfant el- elle rentrait pas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.666666666666667",NA,NA,NA,NA,NA,NA,NA,NA
"209","3","c'est moi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.3333333333",NA,NA,NA,NA
"210","9","eh ben c'est ma fille c'est notre enf- no- euh notre fille qui l'a.
nan je bein je les ai pas.","0.027027027027027",NA,NA,NA,NA,NA,NA,"0.375978199991474",NA,"0.946285714307344",NA,NA,"0.330125648795102",NA,"0.062500000046875",NA,NA,NA,"0.3333333333",NA,NA,"0.333333333333333","0.6666666667",NA,NA,"0.0833333333",NA,NA,NA,NA
"211","8","bah maman!
tu les as laissées à la caisse.","0.0810810810810811",NA,NA,NA,"0.1111111111",NA,NA,NA,NA,"0.822857142875951",NA,NA,NA,"0.3333333333","0.166666666641667",NA,NA,"1","0.5",NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"212","2","oh non maman!",NA,NA,NA,NA,"0.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3333333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","1","c'est elle elle est arrivée.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.666666666666667",NA,NA,NA,NA,NA,NA,NA,NA
"214","13","je les ai!
mais en fait elle mettait tout le sac dedans.","0.027027027027027",NA,NA,NA,NA,NA,NA,"0.173219914039623",NA,"0.870329670397036",NA,NA,NA,NA,"0.12499999994375",NA,NA,NA,"0.3333333333",NA,"0.0833333333","0.666666666666667","0.3333333333",NA,NA,"0.0833333333","0.22","0.22","0.142857142857143","0.142857142857143"
"215","5","j'ai tout rangé papa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.2","0.22","0.22",NA,NA
