dur,1332
compris,963
pied,1537
marchera,24
pieds,1216
pourrais,694
compliqué,622
mettrait,18
surtout,3393
arrivera,102
cachera,1
craquotte,11
choisi,446
jouent,243
fanny,57
gentille,238
cas,1812
pourrai,106
emmener,307
préparera,2
pouvait,637
boire,854
r,208
gagné,597
laurent,60
disais,834
pizzas,40
vers,1795
pim@o,6
ballon,982
seul,1962
corde,94
sauter,262
laissée,53
lequel,911
wha,9
poster?,1
orteils,19
-les,28
patte,175
ouvre,868
devant,1194
poisson,1068
appuyer,248
montre,1552
commander,56
guéri,28
taille,207
essaye,657
bobos,67
dodo,839
arbres,600
libellule,44
emporte,27
zizi!,2
libellules,6
octave,35
grenouille,327
tombée,381
amis,1871
allés,324
eux,3139
éléphant,764
abricot,58
éléphants,128
serait,2272
babar,221
raconté,177
hiboux,10
peur,2152
dire,12580
exploratrice,6
page,869
déchirée,18
déchiré,103
feuilles,498
antennes,12
lézard,53
chemise,95
autres,5737
celle,2277
-là,8235
poussin,161
caressais,1
vaches,171
poules,192
samuel,1
rentrer,786
moyenne,488
isabelle,96
desquels,4
réussi,498
pouvez,1184
fermer,409
cassée,232
noire,185
alexia,2
ballons,136
parler,4073
pouvais,322
âge,1902
demi,766
section,184
cinq,3415
sept,1689
huit,1869
tête,2719
doigt.,1
tourner,547
papillotes,3
stéphanie,25
montés,33
dure,262
pyjama,491
amènerai,6
seront,232
contentes,27
pourra,421
ra,72
francesca,6
martin,147
fleurs,623
mises,72
guitare,201
fâchera,1
paulo,10
bêtises,467
parfois,748
piquer,115
piquera,2
gratte,128
temps,9512
tenir,450
debout,664
bêtise,216
tirer,354
youhou,15
cru,208
boum@o,131
badaboum@o!,3
badaboum@o,34
ouah!,1
tranche,103
animés,55
préfère,549
mette,333
main,1911
pirate,74
pirates,76
bandeau,19
jouets,471
habitent,296
voisins,403
arbre,553
mûres,47
part,2644
endort,36
enfermé,49
lits,62
miaou@o,50
miaou@o!,1
vrais,158
caresse-le,1
endormir,71
toit,262
maisons,456
cave,154
parapluie,88
manteau,257
chaussures,893
sous,1360
cabane,123
passe,3041
exemple,6537
refermes,24
ouvert,492
tant,1374
coincé,229
déc,4
fatigué,268
moment,4218
ninini@c,1
nanana,37
dors,212
cousine,174
matin,2128
pond,34
poule,524
rousse,22
tata,222
coince,46
cet,1274
bateaux,124
tracteur,314
fermière,20
cagette,4
n,528
éclaire,22
nuit,903
chevet,9
éclairera,2
éteins,79
pr,32
poussounou@c,2
j-,1711
poussounou,2
prête,227
remets,405
perdue,61
chapeaux,38
facile,1182
fraises,160
nuage,65
ramasser,207
granules,4
cogne,33
ç,18
bobo,506
pleure,530
quatre,3971
répéter,97
dix,2425
brun,241
reconnu,97
apporte,213
miel,161
renverser,65
pain,995
canaille,83
n-,217
-.,4802
meuh@o,88
pré,67
taper,233
chéri,812
chagrin,33
-toi,248
conduire,175
assise,163
venait,320
emmènes,73
nounou,101
avons,1551
chipé,4
méchante,154
frère,1102
écroulé,19
prouts,15
sent,807
sentir,161
re-alller,1
avions,241
chantes,192
toile,81
pommier,24
lèche,39
fabri,3
dessiné,205
court,374
herbe,155
marron,175
pêche,280
rivière,150
bonhommes,119
construit,247
château,423
sable,241
seau,175
tapé,93
seuls,203
