id_text;document;freq_texte_freq_text
102;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_3.57.txt;9797.908669969916
103;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_3.69.txt;9250.91702312627
104;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_3.83.txt;7916.738052099539
105;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_4.03.txt;8704.735441594265
106;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_4.13.txt;8708.522261230659
107;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_4.36.txt;8580.519311822303
108;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_4.48.txt;8850.761692438156
109;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_4.69.txt;8548.991094030198
110;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_5.14.txt;7907.315913636459
111;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_5.6.txt;8069.964556947718
112;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anae_5.91.txt;7019.508590912699
113;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_1.38.txt;3785.5541619098863
114;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_1.59.txt;2820.1982091892573
115;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_1.76.txt;3126.005687523769
116;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_1.88.txt;4793.772472522831
117;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.0.txt;10041.619399186506
118;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.07.txt;10296.811374282157
119;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.09.txt;7530.214146287979
120;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.21.txt;7229.882024876945
121;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.33.txt;9413.414217304415
122;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.41.txt;8022.572272523772
123;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.5.txt;10072.55451978534
124;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.57.txt;7455.417777192599
125;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.67.txt;10097.052130634005
126;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.81.txt;8209.823026959131
127;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.9.txt;8404.70811554361
128;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_2.97.txt;7635.21049111944
129;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.1.txt;9198.865114492985
130;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.25.txt;9628.775109982842
131;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.4.txt;8804.786496049657
132;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Anaé_3.47.txt;8683.569142062806
140;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.06.txt;3702.7737250985015
141;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.14.txt;2844.175300567017
142;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.23.txt;3759.191961316108
143;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.29.txt;4544.562481207601
144;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.38.txt;3702.552319483205
145;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Antoine_1.47.txt;3560.7183912833416
