"","note","sentence","pluriels_phrase_nombre_pluriels_sentence","parties_du_discours_phrase_proportion_SCONJ_sentence","connecteurs_organisateurs_phrase_nombre_explicatifs_et_justificatifs_sentence","connecteurs_organisateurs_phrase_proportion_explicatifs_et_justificatifs_sentence","parties_du_discours_phrase_proportion_INTJ_sentence","connecteurs_organisateurs_phrase_nombre_connecteurs_temporels_sentence","connecteurs_organisateurs_phrase_proportion_connecteurs_temporels_sentence","graphie_phrase_variance_longueur_mots_sentence","pronoms_phrase_nombre_pronoms_indefinis_sentence","dependances_syntaxiques_phrase_nombre_moyen_dependances_sentence","adverbiaux_temporels_phrase_nombre_adverbiaux_temporels_sentence","adverbiaux_temporels_phrase_proportion_adverbiaux_temporels_sentence","dependances_syntaxiques_phrase_point_distance_moyenne_sentence","pluriels_phrase_proportion_pluriels_sentence","pronoms_phrase_proportion_pronoms_personnels_pluriels_sentence","structures_syntaxiques_phrase_nombre_subordonnees_completives_sentence","structures_syntaxiques_phrase_proportion_subordonnees_completives_sentence","flexions_verbales_phrase_proportion_flexions_pluriel_sentence","pronoms_phrase_repartition_pronoms_personnels_pluriels_sentence","parties_du_discours_phrase_proportion_ADV_sentence","parties_du_discours_phrase_proportion_CCONJ_sentence","flexions_verbales_phrase_diversite_systemes_temps_sentence","pronoms_phrase_repartition_pronoms_personnels_1e_personne_sentence","connecteurs_organisateurs_phrase_nombre_additifs_et_integration_lineaire_sentence","connecteurs_organisateurs_phrase_proportion_additifs_et_integration_lineaire_sentence","pronoms_phrase_proportion_pronoms_personnels_1e_personne_sentence","emotions_phrase_score_de_subjectitvite_sentence","emotions_phrase_score_de_polarite_sentence","connecteurs_organisateurs_phrase_nombre_argumentatifs_et_concessifs_sentence","connecteurs_organisateurs_phrase_proportion_argumentatifs_et_concessifs_sentence"
"156","6","^ je veux aller à l'école.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.339472154862935",NA,NA,"0.111111111111111","0.111111111111111",NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.1666666667",NA,NA,NA,NA
"157","7","xxx roh mais c'est pas vrai aïe@o ouille@o oh.",NA,NA,NA,NA,NA,NA,NA,"0.137418379942678",NA,"0.841558441596378",NA,NA,"0.502755455805986",NA,NA,NA,NA,NA,NA,NA,"0.1","0.333333333333333",NA,NA,NA,NA,NA,NA,"0.166666666666667","0.166666666666667"
"158","3","à table mon bébé allez à table.","0.027027027027027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1428571429",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","6","euh papa je peux descendre dit Garance.",NA,NA,NA,NA,"0.1428571429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.222222222222222","0.222222222222222",NA,NA,NA,NA,"0.333333333333333","1",NA,NA,"0.1428571429",NA,NA,NA,NA
"160","4","ben tu descends toute seule.",NA,NA,NA,NA,NA,NA,NA,NA,"0.111111111111111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,"0.06","0.06",NA,NA
"161","0","tine@o tine@o.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","6","alors le bébé allez.","0.027027027027027",NA,NA,NA,NA,"0.2","0.2",NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,"1",NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","6","à plus tard mon chéri.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.25","0.370333259850475",NA,NA,NA,NA,NA,NA,"0.4",NA,NA,NA,NA,NA,NA,"0.325","0.325",NA,NA
"164","5","euh mais maman.",NA,NA,NA,NA,"0.3333333333",NA,NA,NA,NA,NA,NA,NA,"0.370333259850475",NA,NA,NA,NA,NA,NA,NA,"0.3333333333",NA,NA,NA,NA,NA,NA,NA,"0.166666666666667","0.166666666666667"
"165","1","ben regarde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"166","8","non ils déjeunent déjà.","0.0540540540540541",NA,NA,NA,NA,NA,NA,NA,"0.166666666666667",NA,NA,NA,NA,"0.5","0.5",NA,NA,"1","1","0.5",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"167","5","à plus tard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.25",NA,NA,NA,NA,NA,NA,NA,"0.6666666667",NA,NA,NA,NA,NA,NA,"0.15","0.15",NA,NA
"168","8","à plus tard chéri à plus tard chéri avec //.",NA,NA,NA,NA,NA,NA,NA,"0.161308258650999",NA,"0.857142857128163","0.5","0.5","0.397765353194678",NA,NA,NA,NA,NA,NA,"0.3636363636",NA,NA,NA,NA,NA,NA,"0.325","0.325",NA,NA
"169","9","allez oh j'ai oublié mon sac à dos.","0.027027027027027",NA,NA,NA,"0.1111111111",NA,NA,NA,NA,"0.822857142875951",NA,NA,"0.329185119883548","0.1111111111",NA,NA,NA,"0.333333333333",NA,NA,NA,"0.333333333333333","1",NA,NA,"0.1111111111",NA,NA,NA,NA
"170","3","très bien ma chérie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"0.25","0.25",NA,NA
"171","5","à plus tard!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.25",NA,NA,NA,NA,NA,NA,NA,"0.6666666667",NA,NA,NA,NA,NA,NA,"0.1875","0.1875",NA,NA
"172","3","xxx les deux bébés.","0.0810810810810811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.44439991182057","0.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","3","euh où est le biberon?",NA,NA,NA,NA,"0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"174","2","ben il était là.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,"0.333333333333333",NA,NA,NA,NA,NA,NA,NA,NA
"175","5","à plus tard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.25",NA,NA,NA,NA,NA,NA,NA,"0.6666666667",NA,NA,NA,NA,NA,NA,"0.15","0.15",NA,NA
"176","5","à plus tard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25","0.25",NA,NA,NA,NA,NA,NA,NA,"0.6666666667",NA,NA,NA,NA,NA,NA,"0.15","0.15",NA,NA
