camembert,12
matin,64
bouger,50
ta,316
rigolo,75
sourcils,5
bras,213
ventre,130
guilis,4
relève,1
choisis,23
forêt,60
ailes,27
vole,85
ciel,74
oiseau,194
nage,31
orange,171
badoit,8
att,4
fourchette,57
ç,5
mayo,1
compris,23
salut,14
vais,2286
sandale,3
sinon,278
finir,20
tape,76
abord,212
vache,157
être,548
eu,204
abîmée,15
jaunes,46
abîmé,26
pâte,146
appellent,33
fusilli,1
pap,8
citron,28
lardons,1
soir,55
parles,13
quand-même,1
plutôt,143
mie,13
bosse,10
doigt,96
pouces,1
revient,15
verrou,2
dormir,163
fâche,8
colère,24
fâcher,1
livre,373
taboulé,2
super,54
dangereux,18
couteaux,18
cous,2
danger,4
casser,121
magnifique,2
petis,1
bobos,19
tropicaux,1
fruit,15
camion,262
bus,78
tracteurs,15
camping-car,1
course,76
tombereau,1
sable,59
tran,1
transporte,17
emmène,14
lui,1749
phare,15
chassiron,5
au,30
périgord,1
animaux,263
trottinette,37
pédaler,7
lequel,46
sirène,19
clair,35
lune,97
chandelle,4
morte,27
ouvre-moi,1
ouvre,201
-moi,18
ami,26
pierrot,7
chanson,76
jeter,49
jeté,24
vin,14
banane,110
ratatouille,19
papier,50
face,13
étaler,8
petits,577
bouts,24
étale,11
mangeait,15
asperges,2
hamburgers,2
muscat,8
allé,91
corse,1
top,6
mélange,32
fondu,13
tartine,20
personnages,14
autocollant,7
autocollants,31
aura,89
demande,83
ont,554
demandé,22
mieux,144
aimes,59
ira,21
loto,11
gagner,32
petshops,31
petshop,22
gratté,3
dehors,164
xx?,9
ceux,136
contents,21
vont,383
rentrent,12
sarkozy,2
correctement,3
vous,512
idée,39
venu,33
rester,75
voulait,108
gronder,12
partagé,1
transforme,14
étoile,64
regarderais,1
prune,12
sauverais,3
entend,52
allumer,37
aller,880
couverture,52
pantoufles,24
enlève,194
princesse,111
regardes,40
lancé,18
avais,499
haut,376
canapé,75
sur,1524
regarde-moi,2
lancer,22
lance,45
fon,1
enfoncée,1
attraper,104
chérie,20
amour,13
levée,3
cogner,7
fesses,83
recommencer,20
galope,4
donc,375
inquiète,14
verras,5
dessin,169
colline,1
châteaux,17
hisse,119
jolie,34
bébés,189
tralala,1
porter,80
youh,1
xx,953
enfants,245
voulez,48
prépare,19
achetées,4
quelle,71
servira,1
donnez,4
vos,5
assiettes,33
kiwi,14
chambre,219
trompette,22
fouchette,2
entendez,4
partir,108
votre,44
chaise,135
dos,171
son,1139
directement,6
sans,104
parents,78
travaille,42
route,62
soient,5
garées,5
toutes,220
rigole,48
cartable,14
notre,93
enfant,98
chiens,75
damien,14
recommencé,5
grande,358
dinette,12
mignonne,5
prendre,423
jouerai,2
ménage,3
jee,1
belle,207
lourde,8
portes,17
pauvre,21
elles,472
petites,202
grandi,21
aurais,46
crocodile,146
parcours,30
jeu,207
traverser,8
jusque,36
long,56
tra,6
cette,221
boite,31
dora,147
traverse,9
puzzle,157
reprend,8
dirait,133
ju,6
jusqu',84
génial,4
marcher,83
boites,4
grands,147
grandes,87
sœurs,1
peuvent,78
julie,85
adèle,11
ch,33
sean,3
absent,1
gym,11
fiche,5
cour,47
pleuvait,6
remet,23
trucs,194
partout,156
pattes,92
niche,15
bougé,14
copine,86
personnage,3
vit,27
vie,48
entrez,3
jour,115
crocro@c,1
mord,22
pose,98
ramené,15
youpi,6
dvd,14
étais,314
étaient,78
sages,3
fille,328
plâtre,5
médecin,22
camille,23
chenille,28
monde,153
joué,51
dessins,64
montrer,159
varicelle,6
seule,148
toscan,12
steph,6
dame,142
appelait,64
bonbons,95
écoutes,3
gilet,19
fatiguée,31
dormi,21
bye,4
gras,17
décidé,10
boules,33
commence,105
poney,41
drôle,46
qu,10
téléphoneras,1
dirai,12
préférée,15
tee-shirt,9
droit,127
aimer,5
d@l,28
v@l,14
montré,23
fauteuil,44
fauteuils,3
mangeras,1
poires,16
regardez,124
poire,21
chose,254
offre,1
abimer,2
mandarine,15
boivez,1
bois,144
serveur,6
limaces,7
roses,46
quels,4
crayons,42
mangerez,1
instant,33
acheté,74
merguez,3
piquent,12
mise,18
rattraper,10
serais,19
mandarines,8
glace,88
couler,5
faisez,2
tomate,35
avez,49
cuire,24
-c,1
prêt,24
tient,110
chaudes,5
caisse,43
baisser,6
baissée,1
déménagé,7
posez,1
mettez,5
-vous,10
demandera,2
puisque,37
juliette,45
prendra,5
reviendra,4
arrive,655
antoine,135
puisqu',22
faisait,95
félicita,1
gardez,4
tenez,9
écoutais,2
écoute,41
trouver,103
claqué,4
pois,35
chiche,1
train,426
unis,8
appeler,68
diane,5
vient,148
vienne,10
steph?,1
maëlis,2
trompes,2
chapeau,168
star,8
minutes,40
pars,24
longtemps,71
kart,2
maelis,1
heures,61
faudrait,37
avion,203
hippopotame,77
attends-moi,1
habits,60
voyage,7
emmènerai,1
sûre,17
d.,3
reviens,16
peigner,9
poupée,193
peignes,1
joues,48
joue,331
oeufs,68
dis,322
-lui,3
père,192
frange,2
montreras,1
cousins,16
cocotte,38
cuisine,91
fera,56
pizza,30
ferai,14
truc,408
traits,16
fouet,1
mélanger,28
mélang,1
poivre,13
coque,9
œufs,5
sortent,15
ces,115
bagarrent,4
mélangé,20
farine,26
toucher,56
enlèves,24
coquille,20
trouve,131
vue,13
souviens,63
grattes,2
cake,7
huile,13
olive,9
mei,1
goûtes,2
donne,367
torchon,2
garde,60
sage,32
bons,13
jambons,3
voit,359
meilleur,4
olives,25
celles,31
attrapé,46
repose,12
reposes,3
combien,50
passer,126
table,183
nettoyé,13
bientôt,58
goûté,14
cherches,6
quelque,238
mangeais,9
donnais,7
affaires,32
achetés,5
parlait,9
tarte,25
f-,23
