bonsoir	FNO	bonsoir
avec	PRP	avec
une	DET:ind	un
charge	NOM	charge
donc	ADV	donc
effectivement	ADV	effectivement
par	PRP	par
contre	ADV	contre
tu	PRO:cls	tu
prends	VER:pres	prendre
maintenant	ADV	maintenant
un	DET:ind	un
pompier	NOM	pompier
qui	PRO:rel	qui
va	VER:pres	aller
être	VER:infi	être
sur	PRP	sur
intervention	NOM	intervention
imagine	VER:impe	imaginer
maintenant	ADV	maintenant
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
quelque	ADV	<unknown>
chose	NOM	chose
qui	PRO:rel	qui
s'	PRO:clo	se
est	AUX:pres	être
écroulé	VER:pper	écrouler
qu'	KON	que
il	PRO:clsi	il
y	PRO:clo	y
a	VER:pres	avoir
une	DET:ind	un
victime	NOM	victime
en	PRP	en
dessous	ADV	dessous
il	PRO:clsi	il
sera	VER:futu	être
peut-être	ADV	peut-être
amené	VER:pper	amener
à	PRP	à
soulever	VER:infi	soulever
cette	DET:dem	ce
charge	NOM	charge
pour	PRP	pour
pouvoir	VER:infi	pouvoir
dégager	VER:infi	dégager
la	DET:def	le
victime	NOM	victime
à	PRP	à
ce	DET:dem	ce
mouvement-là	NOM	<unknown>
on	PRO:cls	on
peut	VER:pres	pouvoir
l'	PRO:clo	le
assimiler	VER:infi	assimiler
à	PRP	à
par	PRP	par
exemple	NOM	exemple
ce	PRO:dem	ce
qu'	PRO:rel	que
on	PRO:cls	on
appelle	VER:pres	appeler
donc	ADV	donc
dans	PRP	dans
le	DET:def	le
terme	NOM	terme
anglais	ADJ	anglais
du	PRP:det	du
CrossFit	NAM:sig	<unknown>
le	DET:def	le
deadlift	NOM	<unknown>
ou	KON	ou
le	DET:def	le
soulevé	NOM	soulevé
de	PRP	de
terre	NOM	terre
d'	PRP	un
accord	NOM	accord
le	DET:def	le
soulevé	NOM	soulevé
de	PRP	de
terre	NOM	terre
est	VER:pres	être
un	DET:ind	un
mouvement	NOM	mouvement
d'	PRP	un
haltérophilie	NOM	haltérophilie
d'	PRP	un
accord	NOM	accord
qui	PRO:rel	qui
est	VER:pres	être
polyarticulaire	ADJ	<unknown>
l'	DET:def	le
ensemble	NOM	ensemble
du	PRP:det	du
corps	NOM	corps
va	VER:pres	aller
travailler	VER:infi	travailler
et	KON	et
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mouvement	NOM	mouvement
fonctionnel	ADJ	fonctionnel
donc	ADV	donc
on	PRO:cls	on
va	VER:pres	aller
soulever	VER:infi	soulever
une	DET:ind	un
charge	NOM	charge
d'	PRP	un
accord	NOM	accord
voilà	FNO	voilà
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
exemple	NOM	exemple
et	KON	et
on	PRO:cls	on
a	VER:pres	avoir
plein	ADV	plein
d'	DET:ind	un
autres	ADJ	autre
mouvements	NOM	mouvement
comme	KON	comme
des	DET:ind	un
tractions	NOM	traction
rien	PRO:ind	rien
que	KON	que
des	DET:ind	un
tractions	NOM	traction
c'	PRO:cls	ce
est	VER:pres	être
un	DET:ind	un
mouvement	NOM	mouvement
fonctionnel	ADJ	fonctionnel
par	PRP	par
exemple	NOM	exemple
si	KON	si
on	PRO:cls	on
doit	VER:pres	devoir
se	PRO:clo	se
tirer	VER:infi	tirer
euh	INT	euh
euh	INT	euh
pour	PRP	pour
euh	INT	euh
franchir	VER:infi	franchir
un	DET:ind	un
obstacle	NOM	obstacle
par	PRP	par
exemple	NOM	exemple
d'	PRP	un
accord	NOM	accord
donc	ADV	donc
si	KON	si
on	PRO:cls	on
parle	VER:pres	parler
du	DET:par	du
sport	NOM	sport
en	PRP	en
question	NOM	question
c'	PRO:cls	ce
est-à-dire	VER:cond	<unknown>
euh	INT	euh
l'	DET:def	le
origine	NOM	origine
du	PRP:det	du
sport	NOM	sport
d-	TRC	d-
d'	PRP	un
où	PRO:int	où
-il	PRO:clsi	il
est	AUX:pres	être
venu	VER:pper	venir
je	PRO:cls	je
sais	VER:pres	savoir
pas	ADV	pas
alors	ADV	alors
le	DET:def	le
sport	NOM	sport
il	PRO:cls	il
a	AUX:pres	avoir
été	VER:pper	être
euh	INT	euh
inventé	VER:pper	inventer
dans	PRP	dans
les	DET:def	le
a-	TRC	a-
si	KON	si
je	PRO:cls	je
ne	ADV	ne
me	PRO:clo	me
trompe	VER:pres	tromper
pas	ADV	pas
donc	ADV	donc
dans	PRP	dans
les	DET:def	le
années	NOM	année
euh	INT	euh
par	PRP	par
Greg	NAM	<unknown>
Glassman	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
et	KON	et
donc	ADV	donc
c'	PRO:cls	ce
est	VER:pres	être
lui	PRO:ton	lui
qui	PRO:rel	qui
a	AUX:pres	avoir
inventé	VER:pper	inventer
le	DET:def	le
la	DET:def	le
méthodologie	NOM	méthodologie
de	PRP	de
CrossFit	NAM	<unknown>
pour	PRP	pour
à	PRP	à
l'	DET:def	le
époque	NOM	époque
mettre	VER:infi	mettre
en	PRP	en
condition	NOM	condition
physique	ADJ	physique
le	DET:def	le
.	NOM:sig	<unknown>
de	PRP	de
Los-Angeles	NAM	<unknown>
d'	PRP	un
accord	NOM	accord
euh	INT	euh
du	PRP:det	du
fait	NOM	fait
donc	ADV	donc
de	PRP	de
la	DET:def	le
variété	NOM	variété
euh	INT	euh
et	KON	et
de	PRP	de
