fichier	dossier	loc	age	utt	token	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	cest+que	ya+++qu	ya+qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/Clementin1_Bat_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	11	314	4;01.05	0	0	0	0	1	19	3	0	1	0	0	0	3	2	0	0	0	1	0	2	
../tcof/chi-trans-metaok/clementine1_bas.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	2	392	3;10.23	2	0	0	2	7	15	2	0	1	0	1	1	4	0	0	0	0	0	0	5	
../tcof/chi-trans-metaok/cleophee1_pie.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	32	1266	5;	12	1	0	13	8	81	7	0	12	0	2	4	4	2	1	0	0	0	2	12	
../tcof/chi-trans-metaok/Cloe1_Tsc_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	499	4;05.30	1	0	0	2	2	25	1	0	2	0	0	2	0	0	0	0	0	0	0	4	
../tcof/chi-trans-metaok/constance1_sch.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	136	2013	3;01.06	5	1	0	4	10	102	4	0	4	0	2	1	33	29	3	3	0	0	1	10	
../tcof/chi-trans-metaok/constant1_pap.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	26	994	4;05.30	0	0	0	1	3	29	1	0	0	0	2	3	6	6	0	0	0	0	0	2	
../tcof/chi-trans-metaok/Coralie1_Arn_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	44	2828	4;04.24	5	2	0	68	7	128	11	0	6	4	4	5	9	3	1	1	0	2	5	49	
../tcof/chi-trans-metaok/Corentin1_Ber_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	1769	4;01.05	1	1	0	17	8	49	1	0	12	2	4	4	7	3	1	0	0	0	0	27	
../tcof/chi-trans-metaok/corentin1_boi.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	48	3054	4;09.17	8	8	0	54	9	196	25	0	15	7	12	10	13	7	2	1	0	3	1	30	
../tcof/chi-trans-metaok/Dania1_Col_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	8	1178	6;	0	0	0	22	2	150	3	0	4	9	5	2	2	1	2	2	0	0	0	16	
../tcof/chi-trans-metaok/elea1_cur.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	0	1036	4;04.24	4	3	0	30	3	75	0	0	7	6	2	7	1	1	0	0	0	4	0	0	
../tcof/chi-trans-metaok/Elif1_Ber_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	7	1124	4;10.23	1	1	0	13	4	52	6	0	4	1	0	3	6	1	2	2	0	2	2	9	
../tcof/chi-trans-metaok/Eliott1_Chi_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	10	607	5;01.05	1	3	0	13	0	40	1	0	2	1	1	0	3	0	0	0	0	1	0	1	
../tcof/chi-trans-metaok/Elise1_Hel_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	965	5;10.23	10	16	0	17	10	64	4	0	3	0	2	7	6	2	0	0	0	1	5	12	
../tcof/chi-trans-metaok/Elliot1_Dem_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	17	1518	4;05.30	0	1	0	2	15	50	16	0	11	2	2	6	7	4	1	0	0	3	0	18	
../tcof/chi-trans-metaok/emilie1_rig.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	1	443	5;09.17	0	0	0	0	1	40	0	0	3	3	1	1	2	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/Emy1_Sam_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	5	800	3;02.12	0	0	0	1	0	52	1	0	6	0	5	0	1	1	0	0	0	0	0	1	
../tcof/chi-trans-metaok/Engi1_Hur_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	5	278	4;04.24	0	0	0	0	0	5	0	0	0	0	0	2	1	1	0	0	0	0	0	0	
../tcof/chi-trans-metaok/Enzo1_Nov_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	29	901	3;02.12	0	0	0	3	5	47	9	0	0	0	1	5	2	0	1	1	0	0	0	6	
../tcof/chi-trans-metaok/Erwan1_Fer_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	712	6;	2	0	0	3	2	40	0	0	2	1	2	0	2	1	0	0	0	1	3	4	
../tcof/chi-trans-metaok/Ester1_Zeh_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	1	1472	5;	2	0	0	31	9	120	1	0	13	1	2	8	8	2	2	0	0	5	0	13	
../tcof/chi-trans-metaok/Eva1_Goe_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	11	1191	6;	0	0	0	41	11	83	6	1	2	6	2	10	1	0	2	0	0	2	0	3	
../tcof/chi-trans-metaok/Eva1_Mat_Anon.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	23	898	2;01.06	9	2	0	4	5	40	1	0	1	6	1	8	2	1	2	1	0	0	0	6	
