fichier,corpus,loc,utt,token,age,annee,nbx,sumx,nbsx,sumsx,FUT,COND,SUBJ,IMPF,prorel,conj,comme,PPRE,prep+inf,n+conj+det,n+adj,n+prep+n,cest+++que,ya+++qu,v+inf,dit+qu,plus+qu,proobj,x
./conllu_clan/Enfants_Long_garance_sow_3.6-3.11_garance6_sow.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,105,36,3;11.16,3.91667,118,2.618644,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,2,0,0,x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector1_aub.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,389,82,5;06.28,5.5,151,2.675497,1,7.000000,0,0,0,3,2,37,4,0,0,0,1,7,2,0,1,0,0,6,x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector2_aub.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,477,72,5;10.20,5.83333,130,2.907692,0,0,2,1,0,15,7,56,1,0,2,0,3,6,2,0,6,1,0,7,x
./conllu_clan/Enfants_Long_hector_aub_5.6-6.0_hector3_aub.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,504,83,6;00.16,6,149,2.671141,0,0,0,4,0,32,4,42,1,0,2,0,2,7,2,0,3,2,0,13,x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo1_bar.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,996,252,3;07.13,3.58333,552,2.577899,3,8.000000,0,0,1,5,11,113,4,0,2,0,0,2,3,0,20,1,0,19,x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo2_bar.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,1649,329,3;09.23,3.75,674,2.795252,12,7.416667,1,5,0,7,11,107,13,0,6,4,2,8,14,0,20,1,3,37,x
./conllu_clan/Enfants_Long_hugo_bar_3.7-4.1_hugo3_bar.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,1681,299,4;01.26,4.08333,600,3.131667,20,7.400000,9,2,0,16,17,154,13,0,4,5,4,9,8,0,19,1,1,54,x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo1_gre.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,525,99,3;05.13,3.41667,171,2.502924,0,0,0,0,2,1,2,33,2,0,4,0,5,1,5,0,2,1,1,13,x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo2_gre.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,461,93,3;08.05,3.66667,188,2.824468,5,7.000000,0,0,0,1,8,47,3,0,2,0,2,1,5,0,4,1,0,9,x
./conllu_clan/Enfants_Long_hugo_gre_3.5-3.10_hugo3_gre.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,2221,391,3;10.26,3.83333,744,2.698925,18,8.222222,5,1,0,16,28,238,6,0,7,5,7,9,32,0,24,4,3,47,x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india1_bru.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,295,80,3;01.20,3.08333,148,2.283784,1,7.000000,0,0,0,1,1,16,4,0,3,1,1,0,1,0,0,0,0,3,x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india2_bru.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,257,75,3;03.22,3.25,151,2.278146,2,7.000000,2,0,0,1,0,24,1,0,4,0,1,0,0,0,1,0,0,6,x
./conllu_clan/Enfants_Long_india_bru_3.1-3.6_india3_bru.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,273,82,3;06.22,3.5,170,2.294118,4,7.250000,0,0,0,5,3,16,4,0,0,0,3,1,2,0,1,0,0,7,x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel1_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,270,50,5;04.23,5.33333,112,3.053571,6,7.666667,0,0,0,11,4,17,1,0,3,0,0,0,1,0,3,1,0,4,x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel2_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,143,32,5;05.07,5.41667,66,2.439394,0,0,0,0,0,1,0,10,0,0,1,1,1,4,0,0,0,0,0,3,x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel3_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,211,45,5;05.07,5.41667,88,2.250000,1,7.000000,0,1,0,0,2,19,0,0,0,0,0,8,1,0,2,0,0,1,x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel4_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,427,132,5;05.21,5.41667,379,2.261214,1,7.000000,0,1,0,9,1,33,2,0,0,1,0,0,1,0,2,0,0,6,x
./conllu_clan/Enfants_Long_lionel_can_5.5-5.9_lionel5_can.tei_corpo2.tei_corpo-gsd.conllu.cex,LONG,CHI,221,44,5;06.05,5.5,96,2.239583,0,0,0,0,1,9,0,14,0,0,0,0,1,2,0,0,1,2,0,4,x
